Perceived_Hearing_Meaning,Hearing_FOMO,Hearing_Test_Barrier,Missed_Important_Sounds,Left_Out_Due_To_Hearing,Daily_Headphone_Use,Belief_Early_Hearing_Care,Last_Hearing_Test_Method,Interest_in_Hearing_App,Desired_App_Features,Awareness_on_hearing_and_Willingness_to_invest,Paid_App_Test_Interest,Age_group,Ear_Discomfort_After_Use,Missed_Important_Sounds_clean,Interest_in_Hearing_App_clean,Last_Hearing_Test_Method_clean,Paid_App_Test_Interest_clean
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Cost,"Yes, in family conversations","Yes, often",My parent(s),5,"Self - application, Loved one, AI Support",Yes,"Privacy, Soft guidance, Visuals, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,No,Yes,Yes,Self-tested,Maybe
"Staying independent and alert, Staying connected with the world",Rarely,Never felt the need,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,My child/children,5,Self - application,Yes,Privacy,Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes,Yes,Yes,Self-tested,No
"Staying independent and alert, I haven't thought about it much",Rarely,Shame,"Yes, during important work or school meetings",Sometimes,My parent(s),5,Self - application,Maybe,Soft guidance,No,"Yes, definitely",18 - 24,Maybe,Yes,Maybe,Self-tested,Yes
Staying independent and alert,Yes often,Lack of awareness,"Yes, during important work or school meetings",Sometimes,1-2 hours,4,I've never taken a hearing test,"Yes, that would be helpful",Game-based interaction,Yes,"Yes, definitely",18 - 24,Occasionally,Yes,Yes,Never,Yes
Staying independent and alert,Never,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Game-based interaction, Detailed report generation",No,"No, I prefer getting tested at a hospital",25 - 34,No,No,No,Never,No
"Enjoying music, laughter, and life",Rarely,Lack of awareness,"Yes, in family conversations",Never,Less than 1 hour,5,I've never taken a hearing test,"No, I don't think it's necessary",Quick tests,Yes,"No, I prefer getting tested at a hospital",25 - 34,No,Yes,No,Never,No
"Feeling close to loved ones, Staying independent and alert",Yes often,Lack of awareness,"Yes, in family conversations",Only in noisy places,2-4 hours,4,At a hospital or clinic,"Yes, that would be helpful","Quick tests, Game-based interaction",Yes,"Maybe, if it offers good value",18 - 24,Yes,Yes,Yes,Clinically-tested,Maybe
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Rarely,"Cost, Lack of awareness","No, I usually hear things well",Never,2-4 hours,4,At a hospital or clinic,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Regular testing reminders, Personalized volume adjustments",Yes,"Yes, definitely",18 - 24,Yes,No,Maybe,Clinically-tested,Yes
"Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Regular testing reminders, Doctor consultation, Audio amplifier or sound booster",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Yes,Yes,Never,Maybe
"Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,No,Maybe,Never,No
Staying connected with the world,Rarely,Lack of awareness,"I'm not sure, but I have felt disconnected",Only in noisy places,More than 4 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders",Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,Maybe,Maybe,Never,No
Staying connected with the world,Yes often,Cost,"Yes, during important work or school meetings","Yes, often",1-2 hours,5,Mobile app,"Yes, that would be helpful","Quick tests, Game-based interaction, Detailed report generation",Yes,"Yes, definitely",18 - 24,Yes,Yes,Yes,Self-tested,Yes
"Enjoying music, laughter, and life",Sometimes,Cost,"Yes, during important work or school meetings",Sometimes,1-2 hours,2,Mobile app,"Maybe, if it's easy to use","Earphone calibration, Regular testing reminders, Doctor consultation",Yes,"Maybe, if it offers good value",18 - 24,No,Yes,Maybe,Self-tested,Maybe
"Enjoying music, laughter, and life",Sometimes,Shame,"I'm not sure, but I have felt disconnected",Only in noisy places,2-4 hours,2,Mobile app,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Doctor consultation",Yes,"Maybe, if it offers good value",18 - 24,Yes,Maybe,Maybe,Self-tested,Maybe
"Feeling close to loved ones, Enjoying music, laughter, and life, Staying connected with the world",Rarely,Not that much required ,"Yes, in public spaces (trains, shops, announcements)",Never,2-4 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Doctor consultation, Report sharing options, Do's and don't in personalized manner ",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Yes,Maybe,Never,Maybe
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Rarely,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,No,Yes,Yes,Never,Maybe
Staying independent and alert,Sometimes,Never had a situation to get tested.,"Yes, in family conversations",Only in noisy places,2-4 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Detailed report generation, Personalized volume adjustments, Soft guidance",No,"Maybe, if it offers good value",18 - 24,Occasionally,Yes,Maybe,Never,Maybe
"Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Yes, during important work or school meetings",Only in noisy places,Less than 1 hour,3,I've never taken a hearing test,"No, I don't think it's necessary",Game-based interaction,Yes,"Yes, definitely",18 - 24,No,Yes,No,Never,Yes
Staying connected with the world,Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Sometimes,1-2 hours,2,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Audio amplifier or sound booster",Yes,"Maybe, if it offers good value",18 - 24,Not sure,Yes,Maybe,Never,Maybe
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Fear,"Yes, in family conversations","Yes, often",Less than 1 hour,5,Online test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration, Doctor consultation, Soft guidance",Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes,Yes,Maybe,Self-tested,No
"Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,No,Yes,Never,Maybe
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Rarely,Cost,"No, I usually hear things well",Never,1-2 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,No,No,Yes,Never,Maybe
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Cost,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,More than 4 hours,5,Mobile app,"Maybe, if it's easy to use","Regular testing reminders, Detailed report generation, Audio amplifier or sound booster, Personalized volume adjustments",Yes,"No, I prefer getting tested at a hospital",25 - 34,Occasionally,Yes,Maybe,Self-tested,No
Staying connected with the world,Never,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,1-2 hours,4,I've never taken a hearing test,"Yes, that would be helpful",Quick tests,Yes,"No, I prefer getting tested at a hospital",45 - 54,Occasionally,Yes,Yes,Never,No
Staying connected with the world,Never,Lack of awareness,"I'm not sure, but I have felt disconnected",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction",Yes,"Maybe, if it offers good value",25 - 34,No,Maybe,Maybe,Never,Maybe
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world, I haven't thought about it much",Rarely,Lack of awareness,"Yes, during important work or school meetings",Only in noisy places,1-2 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Doctor consultation, Soft guidance",No,"Maybe, if it offers good value",18 - 24,Occasionally,Yes,Yes,Never,Maybe
Staying connected with the world,Rarely,Lack of awareness,"I'm not sure, but I have felt disconnected",Never,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use",Audio amplifier or sound booster,Yes,"Maybe, if it offers good value",18 - 24,No,Maybe,Maybe,Never,Maybe
"Feeling close to loved ones, Staying independent and alert, Staying connected with the world",Yes often,Lack of awareness,"No, I usually hear things well",Sometimes,2-4 hours,4,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Detailed report generation, Doctor consultation, Soft guidance, Report sharing options",Yes,"Yes, definitely",18 - 24,Yes,No,Yes,Never,Yes
